year,usd_gbp,wpi_us,wpi_uk
1791,4.5802,85.6,110.6
1792,4.4925,93.7,108.7
1793,4.5353,102.7,119.2
1794,4.7765,108.8,121.5
1795,4.573,131.9,141.7
1796,4.3114,147,143.2
1797,4.4625,131.9,130.9
1798,4.4142,122.9,133.1
1799,4.1563,126.9,153.7
1800,4.5746,129.9,186.2
1801,4.4067,143.1,192
1802,4.5111,117.9,150.7
1803,4.5673,118.8,152.4
1804,4.5785,127.1,153.3
1805,4.3732,142.2,167.9
1806,4.4589,135.1,165.9
1807,4.4516,131,161.8
1808,4.6531,116,178.2
1809,4.6008,131,191.1
1810,4.3244,131.9,189.2
1811,3.8389,127.1,179.3
1812,3.6374,131.9,201.8
1813,3.7717,162.7,208.3
1814,4.2647,183.5,189.5
1815,4.7237,171.3,160.2
1816,5.2544,152.1,146.2
1817,4.6289,152.1,162.7
1818,4.5261,148.2,171
1819,4.5393,125.9,158
1820,4.5484,106.9,142.4
1821,4.8491,106.9,122.9
1822,5.0071,106.9,108.4
1823,4.828,103.7,120.3
1824,4.878,98.9,125.7
1825,4.84,103.7,139.4
1826,4.9309,99.7,123.3
1827,4.9468,98.9,122.5
1828,4.9395,97.7,118.8
1829,4.8772,96.8,118.2
1830,4.786,91.7,116.6
1831,4.8629,94.5,117.5
1832,4.8697,95.7,112.8
1833,4.8169,95.7,109.2
1834,4.6033,90.6,106.6
1835,4.862,100.9,104.2
1836,4.8294,114.9,117.4
1837,4.9717,116,116.3
1838,4.88,110.8,120.7
1839,4.8946,112.8,128.7
1840,4.8198,95.7,126.4
1841,4.8925,92.6,120.4
1842,4.7834,82.6,109.5
1843,4.7997,75.5,98.3
1844,4.8716,77.5,100
1845,4.8834,83.7,102.7
1846,4.8278,83.7,106.1
1847,4.8054,90.6,119.4
1848,4.8806,82.6,100.9
1849,4.826,82.6,91.1
1850,4.8868,84.6,90.6
1851,4.9292,83.7,88.2
1852,4.9142,88.6,91.8
1853,4.8998,97.7,111.8
1854,4.8948,108.9,120.1
1855,4.8974,110.8,118.8
1856,4.9184,105.7,118.8
1857,4.9007,111.9,123.5
1858,4.8663,93.8,107.1
1859,4.9157,97,110.6
1860,4.8657,93.8,116.6
1861,4.7896,89.7,115.3
1862,5.0848,104.8,118.8
1863,6.8131,133.9,121.2
1864,7.5752,194.5,123.5
1865,7.5762,186.3,118.8
1866,6.1759,175.2,120.1
1867,6.2329,163.3,117.7
1868,6.37,159.2,116.6
1869,6.2033,152.1,115.3
1870,5.4554,136,113
1871,5.3147,131,117.7
1872,5.2704,137,128.3
1873,5.4762,133.9,130.6
1874,5.3475,127.1,120.1
1875,5.4331,118.8,113
1876,5.3696,110.8,111.8
1877,5.0776,106.9,110.6
1878,4.9183,91.7,102.4
1879,4.8692,90.6,97.7
1880,4.8602,100.9,103.5
1881,4.8451,103.7,100
1882,4.8855,108.9,98.9
1883,4.8647,101.7,96.5
1884,4.8694,93.8,89.5
1885,4.8716,85.8,84.7
1886,4.8771,82.6,81.2
1887,4.8675,85.8,80
1888,4.886,86.7,82.4
1889,4.8844,81.4,84.7
1890,4.8711,82.6,84.7
1891,4.8717,82.1,84.7
1892,4.8838,76.6,80
1893,4.8745,78.7,80
1894,4.8875,70.4,74.1
1895,4.899,71.8,72.9
1896,4.883,68.4,71.8
1897,4.8734,68.4,72.9
1898,4.859,71.3,75.3
1899,4.8733,76.6,80
1900,4.8717,82.3,88.2
1901,4.8786,81.2,82.4
1902,4.8764,86.7,81.2
1903,4.8682,87.8,84.6
1904,4.8717,87.8,82.4
1905,4.8663,88.3,84.7
1906,4.8573,90.9,90.6
1907,4.8667,95.7,94.2
1908,4.8684,92.6,86
1909,4.876,99.5,87.1
1910,4.8676,103.4,91.8
1911,4.866,95.4,94.2
1912,4.8701,101.7,100
1913,4.8689,102.5,100
1914,4.9296,100,100
1915,4.757,102.3,127.1
1916,4.766,125.7,160
1917,4.7644,172.7,210.6
1918,4.7651,193.1,225.9
1919,4.4258,203.7,242.5
1920,3.6643,227.1,295.4
1921,3.849,143.6,182.4
1922,4.4292,142.2,154.2
1923,4.5748,147.9,151.8
1924,4.4171,144.2,163.6
1925,4.8289,152.1,160
1926,4.8582,147,148.3
1927,4.861,140.4,143.6
1928,4.8662,142.4,141.2
1929,4.8569,139.9,135.4
1930,4.8621,127.1,114.2
1931,4.535,107.1,97.7
1932,3.5061,95.7,94.2
1933,4.2368,96.8,92.9
1934,5.0393,109.9,96.5
1935,4.9018,117.7,98.9
1936,4.9709,118.8,104.8
1937,4.944,126.8,120.1
1938,4.8894,115.4,107.1
1939,4.4354,113.3,108.6
1940,3.83,115.4,144.2
1941,4.0318,128.5,161.1
1942,4.035,145,168.3
1943,4.035,152.7,171.9
1944,4.035,152.7,175.5
1945,4.0302,155.5,178.5
1946,4.0328,177.5,184.9
1947,4.0286,217.9,202.5
1948,4.0313,236,231.5
1949,3.6872,224.3,243.9
1950,2.8007,233,278.8
1951,2.7996,259.6,326.1
1952,2.7926,252.5,333.6
1953,2.8127,249,326.1
1954,2.8087,249.6,326.1
1955,2.7913,250.2,336
1956,2.7957,258.4,348.5
1957,2.7932,265.8,360.9
1958,2.8098,269.5,363.4
1959,2.8088,270.1,363.4
1960,2.8076,270.1,368.4
1961,2.8022,269.5,378.4
1962,2.8078,270.1,388.3
1963,2.8,269.3,390.8
1964,2.7921,269.8,403.3
1965,2.7959,275.2,418.2
1966,2.793,284.4,430.6
1967,2.7504,284.9,435.6
1968,2.3935,292,450.6
1969,2.3901,303.4,470.5
1970,2.3959,314.5,500.3
1971,2.442,324.5,545.1
1972,2.5008,339.3,575
1973,2.451,383.7,617.3
1974,2.3403,456.2,761.7
1975,2.2216,498.3,936
1976,1.8062,521.2,1087.8
1977,1.7455,552.9,1284.5
1978,1.9195,595.9,1411.4
1979,2.1178,670.6,1565.7
1980,2.324,765.6,1784.8
1981,2.0095,835,1956.5
1982,1.7469,851.7,2105.9
1983,1.5158,862.3,2220.4
1984,1.3301,883.3,2357.3
1985,1.2833,879,2489.2
1986,1.467,853.5,2601.3
1987,1.6389,876.3,2698.3
1988,1.7814,911.5,2817.8
1989,1.6397,956.3,2962.2
1990,1.7841,990.6,3064.3
