year,month,inflation_1,inflation_3,tbill_1,tbill_3,cpi
1970,12,5.237093,4.145435,4.520519,5.015882,39.8
1971,1,2.088382,4.127476,4.255967,4.916293,39.8
1971,2,5.11083,5.463615,4.067414,4.178699,39.9
1971,3,5.183215,5.440576,3.172573,3.41801,40
1971,4,6.096802,5.757305,3.401508,3.523581,40.1
1971,5,5.041712,4.712515,3.655434,4.009751,40.3
1971,6,6.133401,3.370839,4.062538,4.383754,40.6
1971,7,2.962434,1.664978,4.876534,5.250791,40.7
1971,8,1.016681,1.353855,5.080359,5.353309,40.8
1971,9,1.01582,1.35271,4.469582,4.3991,40.8
1971,10,2.029064,2.331636,4.520473,4.631869,40.9
1971,11,1.013247,1.991636,4.062565,4.369933,40.9
1971,12,3.952596,3.635702,3.960794,4.340148,41.1
1972,1,1.009064,3.320568,3.342929,3.670526,41.1
1972,2,5.945445,3.984059,3.101628,3.393109,41.3
1972,3,3.007194,2.969473,3.248925,3.411175,41.4
1972,4,2.999539,2.962068,3.391474,3.83356,41.5
1972,5,2.901685,2.954746,3.24887,3.659902,41.6
1972,6,2.98498,2.947591,3.458769,3.843825,41.7
1972,7,2.977574,3.597407,3.503288,4.072689,41.9
1972,8,2.880218,3.588532,3.503247,3.732319,42
1972,9,4.93443,3.906536,4.316983,4.594255,42.1
1972,10,2.950948,3.239836,4.469308,4.578149,42.3
1972,11,3.834231,4.175816,4.523551,4.71243,42.4
1972,12,2.934329,5.774592,5.019121,4.938081,42.5
1973,1,5.758887,8.610047,4.825727,5.167611,42.6
1973,2,8.630559,9.836054,5.436763,5.750053,42.9
1973,3,11.4407,9.137978,5.589368,5.928442,43.3
1973,4,9.436906,7.804009,5.894883,6.494195,43.6
1973,5,6.536329,5.878299,5.971179,6.33601,43.9
1973,6,7.438794,10.13426,6.514791,7.027085,44.2
1973,7,3.659775,8.267436,7.373315,7.658236,44.3
1973,8,19.304211,9.461574,8.291912,8.443979,45.1
1973,9,1.838323,5.728834,8.547129,8.776189,45.2
1973,10,7.242186,7.799887,7.169185,7.128502,45.6
1973,11,8.105994,8.647812,6.973396,7.48208,45.9
1973,12,8.05148,11.21721,7.50153,7.448014,46.2
1974,1,9.785962,12.57406,7.363357,7.590764,46.6
1974,2,15.81417,11.60663,7.459376,7.648251,47.2
1974,3,12.12203,10.3388,7.362234,7.596807,47.8
1974,4,6.883693,9.668611,8.402091,8.551289,48
1974,5,12.01069,9.89628,8.649316,8.98708,48.6
1974,6,10.11145,10.35748,7.526336,8.255943,49
1974,7,7.566704,11.10122,7.628459,7.538076,49.4
1974,8,13.39428,11.58109,7.414188,7.808692,50
1974,9,12.34267,10.34333,9.094295,9.235897,50.6
1974,10,9.006326,8.644716,6.099154,6.276627,51.1
1974,11,9.680984,7.26122,6.863164,7.942634,51.5
1974,12,7.246837,6.157955,7.49722,7.565643,51.9
1975,1,4.855838,5.321677,6.608728,7.175099,52.1
1975,2,6.371189,5.276224,5.461964,5.741318,52.5
1975,3,4.738003,5.00806,4.719701,5.4900080000000004,52.7
1975,4,4.71948,6.542149,5.228603,5.625979,52.9
1975,5,5.566699,9.098622,4.969462,5.52165,53.2
1975,6,9.340268,8.798387,4.825937,5.264258,53.6
1975,7,12.3889,7.468468,5.436738,6.019073,54.2
1975,8,4.665991,5.626947,5.996978,6.338213,54.3
1975,9,5.350513,6.091987,5.762815,6.461291,54.6
1975,10,6.864336,6.065125,6.209618,6.642787,54.9
1975,11,6.061113,4.790493,5.283885,5.634712,55.3
1975,12,5.269925,4.010418,5.048287,5.625215,55.5
1976,1,3.040442,3.513122,5.093103,5.259985,55.6
1976,2,3.720887,4.233307,4.418602,4.796502,55.8
1976,3,3.778037,5.217534,4.646934,5.079022,55.9
1976,4,5.200997,6.417921,4.701717,5.028959,56.1
1976,5,6.673568,6.636727,4.740171,5.000417,56.5
1976,6,7.379198,6.110044,5.156685,5.592546,56.8
1976,7,5.857414,5.341009,5.283777,5.4368,57.1
1976,8,5.09352,5.094213,5.080224,5.265443,57.4
1976,9,5.072093,4.588214,4.978412,5.172407,57.6
1976,10,5.117023,4.568938,5.089192,5.165283,57.9
1976,11,3.575525,5.0083,4.732204,4.972262,58
1976,12,5.014266,7.834608,4.276133,4.493959,58.2
1977,1,6.435108,8.275511,4.189028,4.402427,58.5
1977,2,12.05445,9.171496,4.571068,4.811553,59.1
1977,3,6.336976,7.23867,4.469456,4.782312,59.5
1977,4,9.123064,7.66509,4.493746,4.620884,60
1977,5,6.255971,5.992546,4.367555,4.772606,60.3
1977,6,7.616233,5.501339,4.702571,5.099717,60.7
1977,7,4.105433,3.882622,4.884248,5.072023,61
1977,8,4.782352,3.869393,5.195343,5.485132,61.2
1977,9,2.760079,4.082076,5.283777,5.663529,61.4
1977,10,4.065748,4.506677,5.895089,6.012841,61.6
1977,11,5.420399,5.170168,6.007193,6.339295,61.9
1977,12,4.033883,5.821505,5.604548,6.147555,62.1
1978,1,6.056223,7.366295,5.522549,6.243323,62.5
1978,2,7.374409,8.638766,6.009449,6.550963,62.9
1978,3,8.668254,9.664321,6.064039,6.559742,63.4
1978,4,9.873637,10.44582,6.562596,6.615558,63.9
1978,5,10.45107,9.085667,6.200752,6.493002,64.5
1978,6,11.01275,7.308478,6.424899,6.785479,65.2
1978,7,5.79318,5.979484,6.556213,7.187841,65.7
1978,8,5.119508,6.589465,6.497989,7.002123,66
1978,9,7.025764,6.985055,7.580334,7.697147,66.5
1978,10,7.623123,6.734209,7.881943,8.200758,67.1
1978,11,6.306279,7.508717,8.751425,8.878863,67.4
1978,12,6.273224,9.108792,8.886933,9.224109,67.7
1979,1,9.946648,10.48095,8.723579,9.540299,68.3
1979,2,11.10651,11.00524,9.517265,9.528629,69.1
1979,3,10.389709999999999,11.89196,9.458139,9.672996,69.8
1979,4,11.51951,12.38773,9.464418,9.672592,70.6
1979,5,13.76667,11.87711,9.522435,9.801857,71.5
1979,6,11.87701,10.39441,9.704301,9.789722,72.3
1979,7,9.987637,9.905671,8.853532,9.174281,73.1
1979,8,9.318593,9.632198,9.057794,9.391765,73.8
1979,9,10.41078,8.619875,9.872444,10.03631,74.6
1979,10,9.167216,8.356367,9.998088,10.34372,75.2
1979,11,6.281625,9.96921,11.50177,12.41212,75.9
1979,12,9.620259,12.86099,10.40718,11.7615,76.7
1980,1,14.00574,14.57849,9.761541,12.19878,77.8
1980,2,14.95696,12.8125,11.34853,12.34794,78.9
1980,3,14.77275,11.21685,13.29462,14.4196,80.1
1980,4,8.707769,9.150047,15.15681,15.03107,81
1980,5,10.17003,8.712879,8.802561,10.45432,81.8
1980,6,8.57234,8.656165,7.12526,7.908824,82.7
1980,7,7.396264,9.787742,6.085525,8.031307,82.7
1980,8,9.999892,9.744123,7.249541,8.794455,83.3
1980,9,11.96707,8.802374,8.929449,10.06829,84
1980,10,7.265405,7.377762,10.9698,11.63421,84.8
1980,11,7.174647,8.494019,10.9905,12.92957,85.5
1980,12,7.693233,11.12276,14.3047,14.95894,86.3
1981,1,10.61418,11.87055,12.02415,14.72077,87
1981,2,15.06089,10.62583,14.05865,14.75826,87.9
1981,3,9.936591,8.050289,13.97138,14.57486,88.5
1981,4,6.880011,7.019338,13.06822,12.81329,89.1
1981,5,7.334265,7.791796,13.57375,15.26802,89.8
1981,6,6.843737,8.228486,15.79057,15.51193,90.6
1981,7,9.197388,9.113324,14.45855,14.72901,91.6
1981,8,8.644333,7.787688,15.6607,15.33064,92.3
1981,9,9.498251,6.480333,14.92716,16.0278,93.2
1981,10,5.220479,4.724236,13.58701,14.86488,93.4
1981,11,4.722268,5.161171,12.71548,13.15394,93.7
1981,12,4.229963,4.842126,10.36848,10.8042,94
1982,1,6.531282,4.043955,9.435934,11.40082,94.3
1982,2,3.765132,2.491954,11.99978,12.67263,94.6
1982,3,1.835451,4.009578,12.07868,12.87614,94.5
1982,4,1.875277,7.367588,13.46358,13.67184,94.9
1982,5,8.318006,9.468977,12.42304,12.66821,95.8
1982,6,11.90948,7.444243,11.53773,11.91602,97
1982,7,8.179443,5.434504,11.50723,13.04174,97.5
1982,8,2.243804,4.494133,8.930278,9.795261,97.7
1982,9,5.880264,4.348921,6.335796,8.509541,97.9
1982,10,5.358331,2.689854,7.059324,7.764185,98.2
1982,11,1.808168,1.79179,7.724303,8.06528,98
1982,12,0.903063,1.325524,7.63577,8.434636,97.6
1983,1,2.664138,1.297237,8.141189,8.085993,97.8
1983,2,0.409372,3.261987,8.037312,8.264788,97.9
1983,3,0.8182,5.285517,7.455112,8.101323,97.9
1983,4,8.558391,6.356871,8.553856,8.837157,98.6
1983,5,6.479959,5.111015,8.003279,8.254745,99.2
1983,6,4.032262,4.285253,8.107048,8.849361,99.5
1983,7,4.820824,4.934194,8.488949,8.982332,99.9
1983,8,4.002672,4.386179,8.788887,9.455787,100.2
1983,9,5.979086,3.712348,8.486161,9.474233,100.7
1983,10,3.176779,2.246842,8.688437,8.903826,101
1983,11,1.981179,3.4222070000000002,8.438987,8.68947,101.2
1983,12,1.582568,4.592473,8.504189,9.087513,101.3
1984,1,6.702875,4.977128,8.581275,9.182371,101.9
1984,2,5.491976,4.690576,8.88545,9.10613,102.4
1984,3,2.736532,4.024056,8.475822,9.361976,102.6
1984,4,5.843219,4.401371,9.453741,9.97343,103.1
1984,5,3.492417,3.738979,9.267153,9.953471,103.4
1984,6,3.868475,4.239625,8.328031,10.00089,103.7
1984,7,3.856044,4.862488,9.144022,10.19566,104.1
1984,8,4.994358,4.593321,9.67711,10.65679,104.5
1984,9,5.737063,2.928535,10.0939,10.89744,105
1984,10,3.048542,1.269842,10.38033,10.47404,105.3
1984,11,0,1.013644,8.581727,9.22262,105.3
1984,12,0.760985,2.655304,7.435475,8.64325,105.3
1985,1,2.279948,4.162091,7.621558,7.971063,105.5
1985,2,4.92498,5.029931,7.561772,8.235498,106
1985,3,5.281344,4.884976,7.415268,8.702502,106.4
1985,4,4.883469,4.367537,7.778511,8.364659,106.9
1985,5,4.490115,3.359773,7.458186,8.057061,107.3
1985,6,3.729027,2.729554,6.622137,7.284874,107.6
1985,7,1.860177,2.721114,6.555551,6.98937,107.8
1985,8,2.599458,3.331825,6.975403,7.429419,108
1985,9,3.703707,3.814834,6.899581,7.293417,108.3
1985,10,3.692311,3.558844,7.069282,7.216619,108.7
1985,11,4.048485,3.547959,7.153657,7.346784,109
1985,12,2.935736,1.100742,6.625168,7.315833,109.3
1986,1,3.659655,-1.714106,5.937027,7.170339,109.6
1986,2,-3.293165,-3.793825,6.629893,7.119676,109.3
1986,3,-5.508809,-1.468356,6.693627,7.165835,108.8
1986,4,-2.579503,2.324513,6.281684,6.4699159999999996,108.6
1986,5,3.683244,3.306325,5.544848,6.220478,108.9
1986,6,5.869799,2.809623,5.955922,6.425212,109.5
1986,7,0.365932,2.795961,5.891693,6.090957,109.5
1986,8,2.193139,3.03722,5.035007,5.903388,109.7
1986,9,5.828813,2.669081,4.644696,5.253474,110.2
1986,10,1.089709,1.088758,5.115358,5.321613,110.3
1986,11,1.08872,3.134442,5.126819,5.300584,110.4
1986,12,1.087844,4.207778,5.092065,5.517855,110.5
1987,1,7.226761,5.6333,4.768939,5.776696,111.2
1987,2,4.308729,5.35958,5.474479,5.706479,111.6
1987,3,5.364409,5.340534,5.328778,5.555666,112.1
1987,4,6.405601,4.964591,5.207617,5.67875,112.7
1987,5,4.251591,3.885265,3.312929,5.630082,113.1
1987,6,4.236581,4.571491,5.176281,5.811642,113.5
1987,7,3.167622,5.251717,4.957074,5.81807,113.8
1987,8,6.310269,5.237963,4.992455,6.175929,114.4
1987,9,6.27726,3.481322,5.65636,6.333257,115
1987,10,3.126359,1.388902,6.439192,6.749469,115.3
1987,11,1.040348,1.385259,4.235348,5.388237,115.4
1987,12,0,2.074335,3.560411,5.449135,115.4
1988,1,3.115431,3.794756,3.478787,5.788688,115.7
1988,2,3.107574,4.811079,4.242982,5.75635,116
1988,3,5.161263,5.139257,5.197019,5.741084,116.5
1988,4,6.164397,5.117341,5.330564,5.823605,117.1
1988,5,4.092111,4.753865,5.579652,6.106253,117.5
1988,6,5.095515,5.074064,5.888272,6.639319,118
1988,7,5.073969,6.055625,6.24235,6.696378,118.5
1988,8,5.052708,5.697614,5.95501,7.091919,119
1988,9,8.040197,4.346063,7.314185,7.467331,119.8
1988,10,3.999936,2.330438,7.077273,7.406924,120.2
1988,11,0.998057,2.983885,6.791786,7.528513,120.3
1988,12,1.993322,4.299316,6.528946,7.583434,120.5
1989,1,5.960278,5.930916,6.095076,8.296507,121.1
1989,2,4.944349,6.552142,7.9004,8.571994,121.6
1989,3,6.888122,7.172168,7.530663,8.911493,122.3
1989,4,7.823956,5.84426,8.724572,9.125425,123.1
1989,5,6.804426,4.20207,8.515304,8.615668,123.8
1989,6,2.904398,2.576488,8.367481,8.812334,124.1
1989,7,2.897386,2.890418,8.224813,8.164848,124.4
1989,8,1.927679,3.840029,7.851516,7.902734,124.6
1989,9,3.84619,4.151745,7.721258,8.069159,125
1989,10,5.74622,3.504592,7.677315,8.085595,125.6
1989,11,2.862824,5.691796,7.700176,7.94612,125.9
1989,12,1.90473,6.61693,6.250257,7.758632,126.1
1990,1,12.30783,8.163539,6.483943,7.724065,127.4
1990,2,5.638225,4.682035,7.271387,7.916341,128
1990,3,6.544558,3.7325,7.381612,7.948548,128.7
1990,4,1.863323,3.712324,8.053337,7.986059,128.9
1990,5,2.789618,4.627896,7.517834,8.041327,129.2
1990,6,6.484031,7.362203,6.743239,7.924667,129.9
1990,7,4.61004,8.530418,7.47103,7.913307,130.4
1990,8,10.99254,9.397943,7.468623,7.662047,131.6
1990,9,9.988676,6.631662,7.43821,7.548033,132.7
1990,10,7.212614,3.302103,7.026882,7.293367,133.5
1990,11,2.693695,3.282396,6.626972,7.26411,133.8
1990,12,0,2.9784,6.806508,7.167619,133.8
